studyAccession,individualAccession,individualName,sampleAccession,sampleDescription,sampleName,gender,runAccession,dataName,experimentAccession,platform,strategy
,HRI968382,Null,HRS1236328,,T325,male,HRR1756607,HRR1756607_r2.fq.gz::NOT_FOUND,HRX1413458,Null,
,HRI968382,Null,HRS1236328,,T325,male,HRR1756959,HRR1756959_f1.fq.gz::NOT_FOUND,HRX1413810,Null,
,HRI968382,Null,HRS1236328,,T325,male,HRR1756959,HRR1756959_r2.fq.gz::NOT_FOUND,HRX1413810,Null,
,HRI968383,Null,HRS1236329,,T326,female,HRR1756608,HRR1756608_f1.fq.gz::NOT_FOUND,HRX1413459,Null,
,HRI968383,Null,HRS1236329,,T326,female,HRR1756608,HRR1756608_r2.fq.gz::NOT_FOUND,HRX1413459,Null,
,HRI968383,Null,HRS1236329,,T326,female,HRR1756960,HRR1756960_f1.fq.gz::NOT_FOUND,HRX1413811,Null,
,HRI968383,Null,HRS1236329,,T326,female,HRR1756960,HRR1756960_r2.fq.gz::NOT_FOUND,HRX1413811,Null,
,HRI968384,Null,HRS1236330,,T327,female,HRR1756609,HRR1756609_f1.fq.gz::NOT_FOUND,HRX1413460,Null,
,HRI968384,Null,HRS1236330,,T327,female,HRR1756609,HRR1756609_r2.fq.gz::NOT_FOUND,HRX1413460,Null,
,HRI968384,Null,HRS1236330,,T327,female,HRR1756961,HRR1756961_f1.fq.gz::NOT_FOUND,HRX1413812,Null,
,HRI968384,Null,HRS1236330,,T327,female,HRR1756961,HRR1756961_r2.fq.gz::NOT_FOUND,HRX1413812,Null,
,HRI968385,Null,HRS1236331,,T328,female,HRR1756610,HRR1756610_f1.fq.gz::NOT_FOUND,HRX1413461,Null,
,HRI968385,Null,HRS1236331,,T328,female,HRR1756610,HRR1756610_r2.fq.gz::NOT_FOUND,HRX1413461,Null,
,HRI968385,Null,HRS1236331,,T328,female,HRR1756962,HRR1756962_f1.fq.gz::NOT_FOUND,HRX1413813,Null,
,HRI968385,Null,HRS1236331,,T328,female,HRR1756962,HRR1756962_r2.fq.gz::NOT_FOUND,HRX1413813,Null,
,HRI968386,Null,HRS1236332,,T329,female,HRR1756611,HRR1756611_f1.fq.gz::NOT_FOUND,HRX1413462,Null,
,HRI968386,Null,HRS1236332,,T329,female,HRR1756611,HRR1756611_r2.fq.gz::NOT_FOUND,HRX1413462,Null,
,HRI968386,Null,HRS1236332,,T329,female,HRR1756963,HRR1756963_f1.fq.gz::NOT_FOUND,HRX1413814,Null,
,HRI968386,Null,HRS1236332,,T329,female,HRR1756963,HRR1756963_r2.fq.gz::NOT_FOUND,HRX1413814,Null,
,HRI968387,Null,HRS1236333,,T330,female,HRR1756612,HRR1756612_f1.fq.gz::NOT_FOUND,HRX1413463,Null,
,HRI968387,Null,HRS1236333,,T330,female,HRR1756612,HRR1756612_r2.fq.gz::NOT_FOUND,HRX1413463,Null,
,HRI968387,Null,HRS1236333,,T330,female,HRR1756964,HRR1756964_f1.fq.gz::NOT_FOUND,HRX1413815,Null,
,HRI968387,Null,HRS1236333,,T330,female,HRR1756964,HRR1756964_r2.fq.gz::NOT_FOUND,HRX1413815,Null,
,HRI968388,Null,HRS1236334,,T331,male,HRR1756613,HRR1756613_f1.fq.gz::NOT_FOUND,HRX1413464,Null,
,HRI968388,Null,HRS1236334,,T331,male,HRR1756613,HRR1756613_r2.fq.gz::NOT_FOUND,HRX1413464,Null,
,HRI968388,Null,HRS1236334,,T331,male,HRR1756965,HRR1756965_f1.fq.gz::NOT_FOUND,HRX1413816,Null,
,HRI968388,Null,HRS1236334,,T331,male,HRR1756965,HRR1756965_r2.fq.gz::NOT_FOUND,HRX1413816,Null,
,HRI968389,Null,HRS1236335,,T332,male,HRR1756614,HRR1756614_f1.fq.gz::NOT_FOUND,HRX1413465,Null,
,HRI968389,Null,HRS1236335,,T332,male,HRR1756614,HRR1756614_r2.fq.gz::NOT_FOUND,HRX1413465,Null,
,HRI968389,Null,HRS1236335,,T332,male,HRR1756966,HRR1756966_f1.fq.gz::NOT_FOUND,HRX1413817,Null,
,HRI968389,Null,HRS1236335,,T332,male,HRR1756966,HRR1756966_r2.fq.gz::NOT_FOUND,HRX1413817,Null,
,HRI968390,Null,HRS1236336,,T333,male,HRR1756615,HRR1756615_f1.fq.gz::NOT_FOUND,HRX1413466,Null,
,HRI968390,Null,HRS1236336,,T333,male,HRR1756615,HRR1756615_r2.fq.gz::NOT_FOUND,HRX1413466,Null,
,HRI968390,Null,HRS1236336,,T333,male,HRR1756967,HRR1756967_f1.fq.gz::NOT_FOUND,HRX1413818,Null,
,HRI968390,Null,HRS1236336,,T333,male,HRR1756967,HRR1756967_r2.fq.gz::NOT_FOUND,HRX1413818,Null,
,HRI968391,Null,HRS1236337,,T334,female,HRR1756616,HRR1756616_f1.fq.gz::NOT_FOUND,HRX1413467,Null,
,HRI968391,Null,HRS1236337,,T334,female,HRR1756616,HRR1756616_r2.fq.gz::NOT_FOUND,HRX1413467,Null,
